epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.915,1.79742,1.36856,1.92289,0.33755,0.31794,0.32725,0.16624,1.75629,1.18064,2.10881,0.0755338,0.000499309,0.000499309
2,565.058,1.63753,1.03342,1.78371,0.48968,0.43675,0.42556,0.22161,1.60271,1.09946,2.0374,0.0510336,0.000999065,0.000999065
3,708.294,1.59885,0.96457,1.75781,0.54127,0.51501,0.45671,0.2386,1.6006,1.1434,2.01546,0.0265324,0.00149784,0.00149784
4,873.652,1.56913,0.91468,1.73128,0.59277,0.52816,0.54807,0.27989,1.58028,0.99252,1.99024,0.00202945,0.00199492,0.00199492
5,1046.7,1.55285,0.89088,1.72591,0.6756,0.58784,0.60757,0.30687,1.62772,0.96507,1.98433,0.00199219,0.00199219,0.00199219
6,1208.13,1.53011,0.8797,1.7081,0.67417,0.57489,0.60805,0.32076,1.5345,0.94384,1.95141,0.00198781,0.00198781,0.00198781
7,1470.65,1.50165,0.83718,1.68301,0.66873,0.61152,0.63733,0.33745,1.5433,0.914,1.96316,0.00198246,0.00198246,0.00198246
8,1622.09,1.48998,0.83075,1.68181,0.72046,0.62583,0.66334,0.36149,1.51191,0.91884,1.93918,0.00197616,0.00197616,0.00197616
9,1761.1,1.46822,0.80986,1.66326,0.72372,0.6176,0.66359,0.35576,1.53055,0.87874,1.92015,0.0019689,0.0019689,0.0019689
10,1913.72,1.47432,0.80699,1.67686,0.71508,0.66066,0.6822,0.37524,1.49595,0.85641,1.93395,0.00196069,0.00196069,0.00196069
11,2075.52,1.45917,0.78948,1.64624,0.7269,0.65336,0.67036,0.36595,1.50621,0.86214,1.89346,0.00195155,0.00195155,0.00195155
12,2226.15,1.45976,0.79135,1.64973,0.74921,0.64743,0.69217,0.37776,1.50347,0.84914,1.92065,0.00194147,0.00194147,0.00194147
13,2411.62,1.44313,0.76588,1.64558,0.74106,0.65636,0.70866,0.40015,1.45849,0.80828,1.88825,0.00193048,0.00193048,0.00193048
14,2581.69,1.43205,0.76297,1.64239,0.70634,0.65315,0.67381,0.37449,1.50422,0.88464,1.89185,0.00191858,0.00191858,0.00191858
15,2725.54,1.42794,0.75375,1.6326,0.73527,0.65907,0.69632,0.39108,1.47305,0.83253,1.88939,0.00190578,0.00190578,0.00190578
16,2879.89,1.4266,0.75363,1.63827,0.76083,0.65333,0.71979,0.39851,1.4712,0.82675,1.87875,0.0018921,0.0018921,0.0018921
17,3027.66,1.40953,0.74269,1.60455,0.77649,0.65977,0.72077,0.40869,1.44434,0.79389,1.85544,0.00187754,0.00187754,0.00187754
18,3182.74,1.40576,0.73638,1.61429,0.74622,0.69234,0.7278,0.4164,1.44019,0.77951,1.85059,0.00186213,0.00186213,0.00186213
19,3342.2,1.41197,0.74513,1.62501,0.77728,0.67604,0.73474,0.41963,1.42699,0.78205,1.85282,0.00184588,0.00184588,0.00184588
20,3476.73,1.40585,0.72942,1.61255,0.78997,0.67756,0.734,0.40715,1.48623,0.75905,1.86293,0.00182881,0.00182881,0.00182881
21,4472.4,1.40146,0.72791,1.60949,0.78807,0.6786,0.73834,0.41837,1.43334,0.77715,1.85054,0.00181093,0.00181093,0.00181093
22,4628.61,1.37915,0.71203,1.59102,0.7876,0.68026,0.73461,0.41344,1.44402,0.75282,1.84602,0.00179225,0.00179225,0.00179225
23,4780.83,1.37163,0.70245,1.59477,0.78338,0.70484,0.75223,0.43318,1.42097,0.72839,1.80865,0.00177281,0.00177281,0.00177281
24,5017.81,1.36498,0.69716,1.58964,0.77658,0.69292,0.7469,0.42839,1.41275,0.74561,1.82435,0.00175261,0.00175261,0.00175261
25,5173.81,1.36748,0.70146,1.59419,0.7404,0.69717,0.72403,0.42729,1.40787,0.75869,1.81511,0.00173168,0.00173168,0.00173168
26,5320.74,1.3634,0.69026,1.5922,0.79597,0.70393,0.76186,0.44338,1.38575,0.74184,1.80723,0.00171004,0.00171004,0.00171004
