epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.149,1.59973,0.92327,1.45215,0.85319,0.71929,0.81656,0.46072,1.41756,0.84253,1.50271,0.0755365,0.000499256,0.000499256
2,220.153,1.52646,0.7871,1.43002,0.77937,0.67128,0.76046,0.40716,1.53977,0.92532,1.62212,0.0510355,0.00099828,0.00099828
3,311.647,1.49286,0.7566,1.41811,0.85671,0.7472,0.83836,0.46689,1.47622,0.83338,1.55265,0.0265306,0.0014934,0.0014934
4,402.766,1.48012,0.74177,1.41096,0.80983,0.70276,0.79194,0.43842,1.47112,0.82899,1.54243,0.00201893,0.00198173,0.00198173
5,494.484,1.44693,0.72337,1.3976,0.87463,0.78327,0.86719,0.50187,1.43906,0.73023,1.48583,0.0019689,0.0019689,0.0019689
6,585.651,1.434,0.71153,1.39266,0.87143,0.79157,0.87113,0.5049,1.39281,0.70181,1.4914,0.00195155,0.00195155,0.00195155
7,674.375,1.4148,0.69426,1.38048,0.86861,0.77479,0.85387,0.48865,1.42351,0.7732,1.50436,0.00193048,0.00193048,0.00193048
8,763.228,1.39882,0.68933,1.37753,0.87773,0.78871,0.88,0.52391,1.3719,0.6745,1.46737,0.00190578,0.00190578,0.00190578
9,852.629,1.38155,0.67878,1.36972,0.87653,0.78778,0.87807,0.52237,1.34623,0.67795,1.45238,0.00187754,0.00187754,0.00187754
10,942.879,1.36161,0.67137,1.36605,0.87457,0.78558,0.87125,0.52137,1.37452,0.67966,1.46916,0.00184588,0.00184588,0.00184588
11,1032.74,1.3587,0.66343,1.36042,0.87832,0.79642,0.8782,0.52151,1.3758,0.67139,1.46198,0.00181093,0.00181093,0.00181093
12,1121.19,1.34603,0.65328,1.35418,0.88455,0.79851,0.88407,0.54362,1.30583,0.65301,1.43503,0.00177281,0.00177281,0.00177281
13,1211.46,1.33743,0.64638,1.34555,0.88341,0.80556,0.88792,0.53756,1.31607,0.64951,1.43749,0.00173168,0.00173168,0.00173168
14,1302.32,1.32741,0.64553,1.34934,0.8882,0.81203,0.89361,0.54959,1.31725,0.64723,1.43936,0.0016877,0.0016877,0.0016877
15,1392.38,1.32221,0.64015,1.34508,0.88645,0.8069,0.89116,0.55283,1.28954,0.62659,1.42047,0.00164105,0.00164105,0.00164105
16,1482.4,1.32281,0.63816,1.3412,0.88385,0.81015,0.88811,0.54697,1.30614,0.62589,1.42942,0.00159191,0.00159191,0.00159191
17,1571.62,1.29932,0.62825,1.3392,0.89179,0.81827,0.89677,0.56179,1.29869,0.61458,1.42328,0.00154047,0.00154047,0.00154047
18,1661.11,1.30257,0.62615,1.33648,0.88478,0.81353,0.8906,0.55097,1.29854,0.62005,1.42601,0.00148694,0.00148694,0.00148694
19,1751.15,1.29546,0.62321,1.33444,0.89036,0.81384,0.89565,0.55362,1.29466,0.62341,1.42298,0.00143152,0.00143152,0.00143152
20,1842.72,1.29532,0.62206,1.33537,0.8899,0.81344,0.89401,0.55413,1.2655,0.60769,1.41034,0.00137444,0.00137444,0.00137444
21,1934.43,1.28351,0.61812,1.33477,0.88758,0.80999,0.89059,0.55565,1.28645,0.61542,1.41608,0.00131593,0.00131593,0.00131593
22,2025.71,1.277,0.61561,1.32983,0.89006,0.81857,0.89928,0.56601,1.25935,0.59533,1.40056,0.0012562,0.0012562,0.0012562
23,2118.15,1.27495,0.60836,1.32359,0.89285,0.82153,0.8992,0.56511,1.2784,0.597,1.40628,0.00119551,0.00119551,0.00119551
24,2210.28,1.265,0.6068,1.32402,0.89461,0.81838,0.8994,0.57006,1.26141,0.5886,1.40524,0.00113408,0.00113408,0.00113408
25,2300.58,1.26201,0.59964,1.31682,0.89358,0.82041,0.89696,0.56213,1.26153,0.5911,1.40281,0.00107216,0.00107216,0.00107216
26,2393.78,1.25791,0.60353,1.32103,0.89074,0.827,0.89955,0.56218,1.27744,0.58351,1.40725,0.00101,0.00101,0.00101
27,2484.3,1.25157,0.5941,1.31542,0.89413,0.82679,0.90309,0.57004,1.2518,0.57966,1.39102,0.000947837,0.000947837,0.000947837
28,2574.15,1.25179,0.59357,1.31418,0.89914,0.82268,0.90351,0.57373,1.24093,0.57727,1.39158,0.00088592,0.00088592,0.00088592
29,2664.32,1.2451,0.58876,1.31001,0.8975,0.82841,0.90609,0.5794,1.23553,0.56948,1.38566,0.000824492,0.000824492,0.000824492
30,2753.2,1.24,0.5909,1.31506,0.89486,0.82002,0.90109,0.57052,1.24664,0.57648,1.39323,0.000763797,0.000763797,0.000763797
31,2842.13,1.23519,0.58575,1.30923,0.89645,0.82149,0.89882,0.57035,1.25568,0.5748,1.39587,0.000704073,0.000704073,0.000704073
32,2931.35,1.22686,0.5803,1.30536,0.89922,0.82926,0.90553,0.57768,1.23724,0.56934,1.38482,0.000645557,0.000645557,0.000645557
33,3022.05,1.22393,0.57971,1.30686,0.89612,0.82748,0.90435,0.57512,1.24524,0.56832,1.39091,0.000588479,0.000588479,0.000588479
34,3110.38,1.21839,0.57607,1.3007,0.8988,0.82817,0.90482,0.57879,1.22871,0.56217,1.38398,0.000533064,0.000533064,0.000533064
35,3199.15,1.21212,0.57337,1.30474,0.89839,0.82947,0.90504,0.57848,1.23762,0.56226,1.3882,0.000479531,0.000479531,0.000479531
36,3303.26,1.16306,0.53977,1.27334,0.89968,0.82798,0.90395,0.57634,1.24365,0.56225,1.39112,0.000428093,0.000428093,0.000428093
37,3391.37,1.15608,0.53544,1.27397,0.90127,0.82892,0.90654,0.58238,1.23233,0.55715,1.38551,0.00037895,0.00037895,0.00037895
